replica,max_active,mean_active,p95_active,time_points_above_theta_pct
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
r0,12.0,8.139051,10.0,17.735221
